Marca temporal,Número de Señalética,Fecha,Hora,Cuadrilla,Latitud,Longitud,Fotografía (Antes),Fotografía (Después),Tipo de Modificación,Observaciones
2026-04-24 10:52:00,G1-20260424-0001,2026-04-24,10:52,GRUPO 1,-38.724541,-72.634140,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0030.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0043.jpg,Mantención de Señalética,
2026-04-24 11:49:00,G1-20260424-0002,2026-04-24,11:49,GRUPO 1,-38.724541,-72.634140,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0044.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0104.jpg,Mantención de Señalética,
2026-04-24 14:50:00,G1-20260424-0003,2026-04-24,14:50,GRUPO 1,-38.743687,-72.597092,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0105.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0160.jpg,Mantención de Señalética,
2026-04-24 17:13:00,G1-20260424-0004,2026-04-24,17:13,GRUPO 1,-38.746690,-72.600683,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0161.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0167.jpg,Mantención de Señalética,
2026-04-24 17:34:00,G1-20260424-0005,2026-04-24,17:34,GRUPO 1,-38.758133,-72.625626,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0168.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0182.jpg,Mantención de Señalética,
2026-04-24 18:12:00,G1-20260424-0006,2026-04-24,18:12,GRUPO 1,-38.754105,-72.646095,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0183.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0187.jpg,Mantención de Señalética,
2026-04-24 18:18:00,G1-20260424-0007,2026-04-24,18:18,GRUPO 1,-38.754078,-72.646057,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0188.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260424-WA0201.jpg,Mantención de Señalética,
2026-04-27 09:03:00,G1-20260427-0008,2026-04-27,09:03,GRUPO 1,-38.718845,-72.648293,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0010.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0086.jpg,Mantención de Señalética,
2026-04-27 12:39:00,G1-20260427-0009,2026-04-27,12:39,GRUPO 1,-38.718815,-72.648087,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0094.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0110.jpg,Mantención de Señalética,
2026-04-27 15:10:00,G1-20260427-0010,2026-04-27,15:10,GRUPO 1,-38.738461,-72.591820,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0119.jpg,,Mantención de Señalética,
2026-04-27 15:29:00,G1-20260427-0011,2026-04-27,15:29,GRUPO 1,-38.739773,-72.593559,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0120.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0124.jpg,Mantención de Señalética,
2026-04-27 15:45:00,G1-20260427-0012,2026-04-27,15:45,GRUPO 1,-38.739441,-72.593521,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0126.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0131.jpg,Mantención de Señalética,
2026-04-27 15:55:00,G1-20260427-0013,2026-04-27,15:55,GRUPO 1,-38.738953,-72.593147,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0132.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0135.jpg,Mantención de Señalética,
2026-04-27 16:05:00,G1-20260427-0014,2026-04-27,16:05,GRUPO 1,-38.739010,-72.593170,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0136.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0137.jpg,Mantención de Señalética,
2026-04-27 16:10:00,G1-20260427-0015,2026-04-27,16:10,GRUPO 1,-38.739346,-72.592049,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0138.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0144.jpg,Mantención de Señalética,
2026-04-27 16:29:00,G1-20260427-0016,2026-04-27,16:29,GRUPO 1,-38.739513,-72.592018,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0145.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0148.jpg,Mantención de Señalética,
2026-04-27 16:31:00,G1-20260427-0017,2026-04-27,16:31,GRUPO 1,-38.739811,-72.592285,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0149.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0150.jpg,Mantención de Señalética,
2026-04-27 16:33:00,G1-20260427-0018,2026-04-27,16:33,GRUPO 1,-38.739960,-72.592178,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0151.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0155.jpg,Mantención de Señalética,
2026-04-27 16:47:00,G1-20260427-0019,2026-04-27,16:47,GRUPO 1,-38.740108,-72.593056,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0156.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0159.jpg,Mantención de Señalética,
2026-04-27 16:49:00,G1-20260427-0020,2026-04-27,16:49,GRUPO 1,-38.740208,-72.592476,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0160.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0163.jpg,Mantención de Señalética,
2026-04-27 16:51:00,G1-20260427-0021,2026-04-27,16:51,GRUPO 1,-38.740013,-72.593246,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0164.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0167.jpg,Mantención de Señalética,
2026-04-27 16:54:00,G1-20260427-0022,2026-04-27,16:54,GRUPO 1,-38.739994,-72.593803,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0168.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0172.jpg,Mantención de Señalética,
2026-04-27 16:57:00,G1-20260427-0023,2026-04-27,16:57,GRUPO 1,-38.739929,-72.594398,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0173.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0176.jpg,Mantención de Señalética,
2026-04-27 17:21:00,G1-20260427-0024,2026-04-27,17:21,GRUPO 1,-38.739712,-72.595345,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0178.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0179.jpg,Mantención de Señalética,
2026-04-27 17:31:00,G1-20260427-0025,2026-04-27,17:31,GRUPO 1,-38.739559,-72.596550,,,Mantención de Señalética,
